type,sex,version,Age,60m,100m,200m,400m,800m,1000m,1500m,1 mile,3000m,5000m,10000m
track,male,2023,5,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,6,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,7,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,8,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,9,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,10,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,11,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,12,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,13,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,14,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,15,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,16,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,17,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,18,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,19,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,20,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,21,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,22,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,23,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,24,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,25,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,26,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,27,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,28,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,29,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,30,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,31,6.34,9.58,19.19,43.03,100.91,131.96,206,223.13,440.67,755.36,1571
track,male,2023,32,6.34,9.58,19.22,43.03,100.91,131.96,206,223.26,440.67,755.36,1571
track,male,2023,33,6.34,9.58,19.35,43.24,100.91,131.96,206.55,224.56,440.67,755.36,1571
track,male,2023,34,6.34,9.58,19.47,43.52,100.91,131.96,207.84,225.93,440.67,755.36,1575.25
track,male,2023,35,6.34,9.58,19.59,43.8,101.26,131.99,209.15,227.31,440.97,755.36,1587.34
track,male,2023,36,6.37,9.64,19.72,44.08,102.06,132.98,210.5,228.71,444.13,755.36,1599.47
track,male,2023,37,6.4,9.71,19.85,44.36,102.86,133.98,211.86,230.14,447.33,759.69,1611.77
track,male,2023,38,6.43,9.77,19.97,44.65,103.68,134.98,213.25,231.63,450.58,765.85,1624.27
track,male,2023,39,6.46,9.84,20.1,44.94,104.5,136.01,214.67,233.13,453.92,772.19,1636.96
track,male,2023,40,6.49,9.9,20.23,45.23,105.33,137.04,216.11,234.65,457.31,778.64,1649.69
track,male,2023,41,6.52,9.97,20.36,45.52,106.17,138.09,217.57,236.24,460.75,785.11,1662.6
track,male,2023,42,6.55,10.04,20.5,45.82,107.02,139.15,219.07,237.85,464.3,791.78,1675.73
track,male,2023,43,6.58,10.11,20.63,46.12,107.87,140.21,220.6,239.48,467.85,798.47,1689.06
track,male,2023,44,6.62,10.18,20.77,46.42,108.75,141.31,222.17,241.16,471.55,805.28,1702.42
track,male,2023,45,6.65,10.25,20.9,46.73,109.62,142.41,223.76,242.87,475.26,812.3,1716
track,male,2023,46,6.68,10.32,21.04,47.03,110.5,143.52,225.38,244.63,479.04,819.35,1729.79
track,male,2023,47,6.72,10.39,21.18,47.34,111.39,144.66,227.04,246.41,482.92,826.52,1743.81
track,male,2023,48,6.75,10.46,21.31,47.66,112.29,145.79,228.73,248.25,486.87,833.82,1757.86
track,male,2023,49,6.79,10.53,21.46,47.97,113.2,146.96,230.45,250.14,490.94,841.15,1772.13
track,male,2023,50,6.83,10.6,21.6,48.29,114.12,148.13,232.21,252.06,495.07,848.71,1786.64
track,male,2023,51,6.86,10.68,21.74,48.62,115.04,149.3,234.01,254.01,499.22,856.41,1801.19
track,male,2023,52,6.9,10.75,21.88,48.94,115.98,150.51,235.85,256.02,503.56,864.25,1816.18
track,male,2023,53,6.94,10.82,22.03,49.27,116.94,151.74,237.71,258.1,507.91,872.13,1831.21
track,male,2023,54,6.98,10.9,22.17,49.6,117.89,152.97,239.64,260.17,512.4,880.16,1846.28
track,male,2023,55,7.02,10.97,22.32,49.94,118.87,154.23,241.58,262.35,516.97,888.44,1861.81
track,male,2023,56,7.06,11.05,22.47,50.28,119.84,155.5,243.58,264.56,521.62,896.78,1877.39
track,male,2023,57,7.1,11.13,22.62,50.61,120.83,156.79,245.61,266.8,526.36,905.27,1893.22
track,male,2023,58,7.14,11.2,22.78,50.96,121.82,158.09,247.71,269.12,531.24,913.92,1909.33
track,male,2023,59,7.18,11.28,22.93,51.31,122.85,159.42,249.81,271.48,536.22,922.85,1925.71
track,male,2023,60,7.23,11.36,23.08,51.66,123.86,160.76,252.01,273.91,541.29,931.85,1942.14
track,male,2023,61,7.27,11.44,23.24,52.01,124.9,162.13,254.22,276.39,546.46,940.9,1959.09
track,male,2023,62,7.31,11.52,23.4,52.37,125.94,163.51,256.5,278.94,551.8,950.25,1976.1
track,male,2023,63,7.36,11.6,23.56,52.73,126.99,164.9,258.82,281.55,557.24,959.79,1993.14
track,male,2023,64,7.41,11.68,23.72,53.1,128.05,166.32,261.18,284.2,562.79,969.52,2010.75
track,male,2023,65,7.45,11.77,23.88,53.47,129.14,167.78,263.62,286.94,568.45,979.33,2028.4
track,male,2023,66,7.5,11.85,24.04,53.84,130.24,169.24,266.11,289.77,574.23,989.46,2046.37
track,male,2023,67,7.55,11.93,24.21,54.22,131.34,170.73,268.64,292.62,580.21,999.68,2064.66
track,male,2023,68,7.6,12.02,24.37,54.6,132.44,172.22,271.26,295.61,586.3,1010.24,2083.27
track,male,2023,69,7.65,12.1,24.54,54.99,133.58,173.76,273.93,298.62,592.53,1020.89,2101.95
track,male,2023,70,7.7,12.19,24.71,55.37,134.72,175.31,276.65,301.73,598.98,1031.77,2120.96
track,male,2023,71,7.75,12.27,24.88,55.77,135.86,176.91,279.47,304.94,605.48,1043.02,2140.32
track,male,2023,72,7.81,12.36,25.05,56.21,137.05,178.51,282.34,308.23,612.21,1054.38,2160.04
track,male,2023,73,7.86,12.45,25.23,56.7,138.23,180.15,285.27,311.59,619.09,1065.98,2180.12
track,male,2023,74,7.92,12.54,25.41,57.24,139.41,181.78,288.27,315.06,626.12,1077.85,2200.28
track,male,2023,75,7.97,12.63,25.58,57.83,140.75,183.58,291.37,318.62,633.41,1089.98,2221.12
track,male,2023,76,8.03,12.72,25.76,58.48,142.22,185.54,294.53,322.3,640.78,1102.39,2242.04
track,male,2023,77,8.09,12.81,25.97,59.19,143.86,187.65,297.77,326.07,648.42,1114.92,2263.03
track,male,2023,78,8.15,12.9,26.2,59.97,145.65,189.97,301.38,329.92,656.24,1127.9,2287.41
track,male,2023,79,8.21,12.99,26.47,60.81,147.61,192.52,305.36,333.92,664.25,1141.19,2314.71
track,male,2023,80,8.27,13.09,26.76,61.73,149.78,195.32,309.72,338.02,672.57,1154.8,2345.47
track,male,2023,81,8.34,13.2,27.09,62.73,152.13,198.37,314.55,342.59,681.72,1170.01,2379.94
track,male,2023,82,8.42,13.32,27.45,63.81,154.69,201.74,319.87,347.71,692.11,1187.29,2418.41
track,male,2023,83,8.51,13.46,27.85,65,157.52,205.38,325.69,353.38,703.6,1206.45,2461.22
track,male,2023,84,8.61,13.61,28.29,66.27,160.58,209.39,332.04,359.65,716.42,1228.02,2508.38
track,male,2023,85,8.72,13.79,28.77,67.65,163.92,213.76,339.03,366.56,730.55,1251.83,2560.71
track,male,2023,86,8.84,13.98,29.3,69.16,167.56,218.54,346.68,374.25,746.26,1278.53,2618.76
track,male,2023,87,8.98,14.19,29.88,70.81,171.55,223.77,355.11,382.72,763.59,1307.98,2682.71
track,male,2023,88,9.13,14.43,30.52,72.61,175.95,229.49,364.34,392.07,782.85,1340.95,2754.2
track,male,2023,89,9.29,14.69,31.22,74.57,180.74,235.81,374.47,402.39,804.14,1377.38,2833.18
track,male,2023,90,9.46,14.97,31.99,76.71,186,242.75,385.69,413.89,827.86,1418.25,2921.16
track,male,2023,91,9.66,15.29,32.84,79.07,191.8,250.39,398.06,426.63,854.34,1463.59,3019.41
track,male,2023,92,9.87,15.64,33.77,81.66,198.21,258.84,411.83,440.79,883.81,1514.65,3128.85
track,male,2023,93,10.1,16.02,34.8,84.52,205.31,268.21,427.12,456.67,916.91,1571.7,3252.58
track,male,2023,94,10.36,16.44,35.94,87.69,213.2,278.63,444.15,474.34,954.03,1636.04,3391.62
track,male,2023,95,10.64,16.9,37.21,91.2,222.07,290.34,463.33,494.3,995.86,1709.34,3549.48
track,male,2023,96,10.95,17.42,38.64,95.13,231.97,303.42,484.93,516.86,1043.74,1792.5,3728.93
track,male,2023,97,11.29,17.99,40.22,99.56,243.15,318.28,509.52,542.63,1098.1,1888.4,3936.35
track,male,2023,98,11.67,18.63,42,104.54,255.85,335.17,537.57,571.98,1161.18,1998.83,4175.97
track,male,2023,99,12.1,19.34,44.03,110.22,270.39,354.54,570,606,1234.36,2127.77,4458
track,male,2023,100,12.57,20.13,46.33,116.73,287.16,377.02,607.66,645.63,1320.16,2279.98,4791.09
track,male,2023,101,13.09,21.03,48.97,124.25,306.81,403.17,651.89,692.3,1422.43,2462.86,5189.95
track,male,2023,102,13.69,22.05,52.03,133.05,329.87,434.22,704.75,748,1545.66,2684.29,5679.68
track,male,2023,103,14.36,23.21,55.6,143.48,357.45,471.45,768.65,815.83,1697.49,2958.71,6289.03
track,male,2023,104,15.13,24.55,59.83,155.96,391.12,516.88,847.38,899.71,1888.85,3308.62,7073.39
track,male,2023,105,16.01,26.11,64.89,171.16,432.71,573.73,947.12,1005.99,2136.06,3765.5,8110.48
track,male,2023,106,17.04,27.93,71.1,190.22,485.61,646.54,1076.84,1144.84,2468.73,4389.07,9544.34
track,male,2023,107,18.24,30.09,78.8,214.61,555.36,743.01,1253.04,1334.5,2937.8,5289.63,11671.61
track,male,2023,108,19.66,32.7,88.71,247.01,650.61,877.39,1504.74,1606.4,3647.93,6708.34,15134.87
track,male,2023,109,21.38,35.9,101.8,291.92,788.97,1077.22,1893.38,2032.14,4853.19,9245.53,21728.9
track,male,2023,110,23.48,39.91,119.93,358.58,1009.1,1405.32,2575,2789.12,7344.5,15107.2,39275